N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
5,1.3250000000000002,1.775,2,"(5, -5)",13
5,1.3250000000000002,2.0,2,"(5, -5)",13
5,1.55,1.55,2,"(5, -5)",13
5,1.55,1.775,2,"(5, -5)",13
5,1.55,2.0,2,"(5, -5)",13
5,1.775,1.55,2,"(5, -5)",13
5,1.775,1.775,2,"(5, -5)",13
5,2.0,1.3250000000000002,2,"(5, -5)",13
5,2.0,1.55,2,"(5, -5)",13
5,1.1,1.55,2,"(5, -5)",14
5,1.1,1.775,2,"(5, -5)",14
5,1.1,2.0,2,"(5, -5)",14
5,1.3250000000000002,1.3250000000000002,2,"(5, -5)",14
5,1.3250000000000002,1.55,2,"(5, -5)",14
5,1.775,1.1,2,"(5, -5)",14
5,1.775,2.0,2,"(5, -5)",14
5,2.0,2.0,2,"(5, -5)",14
5,1.1,1.3250000000000002,2,"(5, -5)",15
5,1.3250000000000002,1.1,2,"(5, -5)",15
5,1.55,1.3250000000000002,2,"(5, -5)",16
5,1.775,1.3250000000000002,2,"(5, -5)",16
5,2.0,1.1,2,"(5, -5)",16
5,2.0,1.775,2,"(5, -5)",16
5,1.55,1.1,2,"(5, -6)",14
5,1.1,1.1,2,"(5, -6)",15
10,1.775,1.55,5,"(10, -10)",15
10,1.1,2.0,5,"(10, -10)",16
10,1.55,1.1,5,"(10, -11)",16
10,1.55,2.0,2,"(10, -11)",16
10,1.3250000000000002,2.0,2,"(10, -11)",17
10,1.775,1.55,2,"(10, -11)",17
10,1.775,1.775,2,"(10, -11)",17
10,2.0,1.55,2,"(10, -11)",17
10,1.1,1.1,5,"(10, -11)",20
10,1.775,1.775,5,"(10, -11)",21
10,2.0,1.1,2,"(10, -11)",26
10,1.55,1.55,2,"(10, -12)",14
10,1.55,1.775,2,"(10, -12)",14
10,1.775,1.1,2,"(10, -12)",14
10,1.775,1.1,5,"(10, -12)",14
10,1.775,1.3250000000000002,2,"(10, -12)",14
10,1.775,1.3250000000000002,5,"(10, -12)",14
10,2.0,2.0,2,"(10, -12)",14
10,1.55,1.775,5,"(10, -12)",15
10,1.775,2.0,5,"(10, -12)",15
10,2.0,1.55,5,"(10, -12)",15
10,2.0,1.775,2,"(10, -12)",15
10,1.1,1.3250000000000002,2,"(10, -12)",16
10,1.3250000000000002,1.55,5,"(10, -12)",16
10,1.3250000000000002,1.775,5,"(10, -12)",16
